,cord,val
0,80,39.35672176127531
1,81,40.17552177273497
2,82,40.887059659374
3,83,41.528863556531014
4,84,41.94100547323421
5,85,42.07558729210678
6,91,39.38631088879644
7,92,38.85723767961775
8,93,38.487624265709705
9,94,38.197470762291736
10,95,38.01383053526587
11,120,36.8876658459099
12,121,36.18665889817841
13,122,35.562431374374704
14,123,35.05241549744898
15,124,34.64190101623535
16,125,34.211654079203704
17,126,33.86111893945811
18,174,30.643808248091716
19,175,29.76579487080477
20,176,29.020692163584187
21,177,28.403794853054745
22,178,27.950902199258614
23,179,27.666352135794504
24,180,27.473432346266147
