,cord,val
0,42,34.586651743674764
1,43,35.13990258197395
2,44,35.6108440087766
3,45,35.9288860243194
4,123,39.98681305865853
5,124,39.1766546599719
6,125,38.474197776950135
7,126,37.99548947081274
8,127,37.72751072474888
9,128,37.61797613027144
10,137,39.764305036895124
11,138,40.23758471741968
12,145,37.9713787935218
13,146,37.133375323548606
14,147,36.30921671341876
15,148,35.47524923207809
16,149,34.80166119945293
17,150,34.245829679528065
18,151,33.97472342666315
19,152,33.91542426907286
20,169,36.420044217790874
21,170,36.93862697056362
22,171,37.2203608921596
23,177,34.75813285671935
24,178,34.01580394044215
25,179,33.27896083131128
26,180,32.58280248058086
27,181,31.871045287774532
28,182,31.275033094445053
29,183,30.869316918509345
30,184,30.52231893734056
