,cord,val
0,44,38.33445381631657
1,45,38.56764267901985
2,46,38.69513967085858
3,47,38.78552534142319
4,48,38.836194719587056
5,53,37.75488678289919
6,54,37.490119778380105
7,55,37.15189890958825
8,56,36.94343956149355
9,57,36.87902411636041
10,61,37.91086547228755
11,62,38.45284403586874
12,63,38.93750163487026
13,64,39.36704713471082
14,65,39.699786672786786
15,66,39.92761160402882
16,67,40.071639547542645
17,68,40.198609488351
18,69,40.32397803481744
19,75,41.89454611953424
20,76,42.14111320339904
21,77,42.28381550068758
22,89,41.17987052761778
23,90,40.949909365907004
24,91,40.608678623121605
25,92,40.19407965212452
26,93,39.91676867738062
27,94,39.76744873669683
28,95,39.62785938807896
29,96,39.49465669904436
30,136,40.98570928768236
31,137,40.20974785940988
32,138,39.3537573522451
33,139,38.49276488167899
34,140,37.670395831672515
35,141,36.93059053226393
36,142,36.313345772879465
37,143,35.76148009786801
38,144,35.27430016653879
39,145,34.90334962338817
40,146,34.685317136803455
41,147,34.57283888057787
42,154,32.68823763788963
43,155,32.49362747036681
44,159,33.628023381135904
45,160,33.95504099008988
46,161,34.305644249429506
47,162,34.72676911646006
48,163,35.10655107303542
49,164,35.38516749167929
50,165,35.611973820900424
51,166,35.811088717713645
52,167,35.93474353089625
53,182,35.57035578513632
54,183,35.08784087823362
55,184,34.59315303880341
56,185,34.1035862358249
57,186,33.636554134135345
58,187,33.216570717947825
59,188,32.982045348809685
60,189,32.88237669030014
61,190,32.901910937562285
