,cord,val
0,41,33.85824814621283
1,42,34.68114895723304
2,43,35.535651927091635
3,44,36.43879602393326
4,45,37.238761824004506
5,46,37.75894274030413
6,47,38.01496116482482
7,48,38.10237868951292
8,53,35.90857595326949
9,54,35.4866916890047
10,55,35.11777153793646
11,56,34.729406551438935
12,57,34.409633558623646
13,66,36.58910525574976
14,67,37.02302473418566
15,68,37.432309520487884
16,90,37.860793444575094
17,91,37.200488732785594
18,92,36.66795224559551
19,93,36.250936079998404
20,94,35.95265065407266
21,101,38.18067449452926
22,102,38.74643785126356
23,103,39.20268630981445
24,104,39.585651008450256
25,105,39.90837712190589
26,147,36.411155077875875
27,148,35.90577985802475
28,149,35.39070713276765
29,150,34.92606493891502
30,151,34.626566283556876
31,180,31.7683846609933
32,181,31.0016139672727
33,182,30.17286802797901
34,183,29.361605313359473
35,184,28.590518756788608
36,185,27.81784450764559
37,186,27.14378835717026
38,187,26.630384717668807
39,188,26.336649174592935
