District,Mandal,Date,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
Adilabad,Bheempoor,2019-10-01,0.0,23.7,33.4,66.9,97.7,0.0,2.6
Adilabad,Jainad,2019-10-01,0.0,23.6,32.55,68.95,97.1,0.1,10.1
Adilabad,Bela,2019-10-01,0.0,24.2,33.2,74.45,97.25,0.1,13.6
Adilabad,Gadiguda,2019-10-01,0.0,23.7,32.6,84.2,99.9,0.0,8.9
Adilabad,Narnoor,2019-10-01,0.0,23.0,31.0,76.2,96.2,0.0,8.9
Adilabad,Inderavelly,2019-10-01,0.0,23.2,33.4,66.2,97.3,0.0,2.3
Adilabad,Gudihathnur,2019-10-01,0.0,22.1,33.3,58.8,96.2,0.0,14.8
Adilabad,Adilabad Rural,2019-10-01,0.0,24.6,35.2,65.8,96.9,0.0,13.9
Adilabad,Adilabad Urban,2019-10-01,0.0,23.95,32.6,65.25,96.85,0.2,2.1
Adilabad,Mavala,2019-10-01,0.0,22.4,31.7,61.8,94.0,0.0,13.9
Adilabad,Tamsi,2019-10-01,0.0,22.9,35.0,60.9,99.0,0.0,0.1
Adilabad,Talamadugu,2019-10-01,0.2,23.15,32.15,68.4,93.65,0.0,14.9
Adilabad,Bazarhathnoor,2019-10-01,0.0,22.4,31.5,70.2,100.0,0.0,24.9
Adilabad,Boath,2019-10-01,0.0,22.45,31.65,64.75,93.25,0.1,24.9
Adilabad,Neradigonda,2019-10-01,0.0,22.6,33.9,65.9,99.7,0.1,2.2
Adilabad,Ichoda,2019-10-01,0.0,22.4,32.6,68.9,99.9,0.0,14.8
Adilabad,Sirikonda,2019-10-01,0.0,22.6,31.8,68.5,98.7,0.0,2.3
Adilabad,Utnur,2019-10-01,0.0,22.3,29.4,76.2,98.1,0.0,1.9
Komaram Bheem-Asifabad,Jainoor,2019-10-01,0.0,23.1,29.4,76.2,92.7,0.1,3.1
Komaram Bheem-Asifabad,Sirpur_U,2019-10-01,0.0,22.3,28.7,80.5,95.3,0.2,2.5
Komaram Bheem-Asifabad,Lingapur,2019-10-01,0.0,23.1,29.9,77.7,87.7,0.0,10.8
Komaram Bheem-Asifabad,Tiryani,2019-10-01,0.0,22.7,31.4,78.1,97.9,0.1,5.6
Komaram Bheem-Asifabad,Rebbana,2019-10-01,0.0,24.0,32.9,74.2,95.55,0.0,9.2
Komaram Bheem-Asifabad,Asifabad,2019-10-01,0.0,22.9,32.9,75.9,99.7,0.0,10.7
Komaram Bheem-Asifabad,Kerameri,2019-10-01,0.0,22.9,35.6,66.6,97.9,0.2,2.5
Komaram Bheem-Asifabad,Wankdi,2019-10-01,0.0,24.2,35.9,57.4,99.9,0.0,2.5
Komaram Bheem-Asifabad,Kagaznagar,2019-10-01,0.0,24.6,33.15,67.45,94.95,0.0,2.7
